geneSet,Ache,Adnp,Akap9,Ank2,Aph1a,Arid1b,Ash1l,Bcl11a,Capn12,Chd2,Chd8,Cttnbp2,Cul3,Dip2a,Dnmt3a,Dscam,Dyrk1a,Erbb2ip,Etfb,Foxp1,Gabrb3,Gigyf1,Grin2b,Ilf2,Ints6,Kat2b,Katnal2,Kdm5b,Kdm6b,Mbd5,Mfrp,Mib1,Myt1l,Naa15,Nckap1,Ninl,Nlgn3,Nrxn1,Olfr554,P2rx5,Phf2,Pogz,Pten,Ptk7,Ranbp17,Setd5,Shank2,Shank3,Slc6a1,Spast,Suv420h1,Syngap1,Tbr1,Tcf7l2,Tnrc6b,Trio,Trip12,Usp45,Wac,Wdfy3
top_65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
top_reg,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
